0.0000,0.9063,0.8184,0.9785
0.8000,1.0747,1.8195,0.3413
0.8000,1.0612,0.5951,0.8824
0.6000,0.9441,1.5836,0.3825
0.6000,0.6255,0.5714,0.5461
0.0000,0.9715,1.7611,0.4396
0.4000,0.8922,0.7776,0.1173
0.6000,0.7613,1.7067,0.8054
0.6000,0.9502,0.6106,0.2001
0.2000,1.3536,1.7826,0.9746
0.0000,0.5563,0.7652,0.1889
0.2000,0.4024,1.6489,0.3952
0.4000,0.8093,0.7938,0.2720
0.4000,1.0054,1.7345,0.8635
0.0000,1.1712,0.5630,0.9374
0.6000,0.9997,1.7944,0.4948
0.6000,0.8092,0.8292,0.9957
0.8000,0.7457,1.8690,0.9352
0.6000,1.0815,0.7155,0.3465
0.4000,0.8025,1.5943,0.0207
0.0000,1.0859,0.7729,0.2447
0.2000,0.7086,1.5657,0.9778
0.4000,1.1067,0.8873,0.4094
0.2000,0.8772,1.8505,0.3347
0.2000,1.6301,0.8185,0.9566
0.0000,1.1872,1.9193,0.5774
0.4000,0.9517,0.7534,0.7946
0.6000,0.7505,1.6822,0.8633
0.4000,0.8776,0.8058,0.9485
0.0000,1.1720,1.7343,0.9254
0.4000,1.5570,0.7352,0.6464
0.6000,0.9710,1.7344,0.4474
0.0000,1.2687,0.6843,0.7953
0.4000,0.8005,1.7867,0.1373
0.4000,1.1957,0.7170,0.1094
0.2000,0.7610,1.7558,0.3529
0.6000,1.1914,0.6773,0.5305
0.8000,0.7849,1.7820,0.2935
0.4000,1.0898,0.9020,0.1295
0.4000,1.3798,1.6375,0.6118
0.2000,0.8301,0.7565,0.7531
0.6000,0.8956,1.7638,0.7108
0.4000,1.4812,0.8801,0.6337
0.8000,1.0441,1.6944,0.4301
0.2000,0.7759,0.6682,0.1522
0.4000,0.7222,1.8435,0.6465
0.6000,0.7065,0.9098,0.0143
0.0000,0.6626,1.6787,0.8582
0.4000,0.9121,0.5202,0.3365
0.8000,0.9117,1.8738,0.9890
